,query,answer
0,City,Chongqing (Home)
1,Language,C++
2,Color,Azure
3,Company,AIRBUS
4,Painting,Woman with a Parasol - Madame Monet and Her Son
5,Calligrapher,文征明 (Wen Zhengming)
6,Artist,Oscar-Claude Monet
7,Animation Character,Brian Griffin
8,Animation,Tom and Jerry
9,Work,Coding and Training
10,Aircraft,A350-1000
11,Drink,Coffee
12,Game,Cities Skylines
13,Aircraft Engine,GE90-115B
